account_id,customer_id,bank_name,account_type,ifsc_code,account_open_date,account_status,salary_account,average_balance,upi_linked
ACC10001,CUST10001,Canara Bank,Savings,CNRB002824,2023-04-26,Active,FALSE,45135.21,TRUE
ACC10002,CUST10002,Canara Bank,Savings,CNRB009935,2021-08-15,Active,TRUE,101463.61,TRUE
ACC10003,CUST10003,State Bank of India,Salary,SBIN004257,2019-09-15,Active,TRUE,74312.11,TRUE
ACC10004,CUST10004,State Bank of India,Current,SBIN003615,2018-10-25,Active,TRUE,196137.46,TRUE
ACC10005,CUST10005,Punjab National Bank,Savings,PUNB002584,2018-11-09,Active,FALSE,125402.26,TRUE
ACC10006,CUST10006,IDFC FIRST Bank,Current,IDFB003045,2015-11-19,Active,FALSE,67944.18,TRUE
ACC10007,CUST10007,IndusInd Bank,Savings,INDB004150,2015-07-07,Active,FALSE,69345.47,FALSE
ACC10008,CUST10008,Axis Bank,Current,UTIB002654,2018-02-12,Active,FALSE,50870.57,TRUE
ACC10009,CUST10009,Canara Bank,Savings,CNRB005374,2021-10-31,Active,FALSE,42194.2,TRUE
ACC10010,CUST10010,Bank of Baroda,Savings,BARB007216,2022-03-06,Active,TRUE,174570.47,TRUE
ACC10011,CUST10011,State Bank of India,Savings,SBIN004752,2018-07-16,Active,FALSE,22263.45,TRUE
ACC10012,CUST10012,YES Bank,Savings,YESB006155,2022-05-08,Active,FALSE,50095.78,TRUE
ACC10013,CUST10013,ICICI Bank,Savings,ICIC005339,2017-10-07,Active,FALSE,74914.91,TRUE
ACC10014,CUST10014,Punjab National Bank,Savings,PUNB007543,2017-06-17,Blocked,FALSE,33048.44,TRUE
ACC10015,CUST10015,State Bank of India,Savings,SBIN002796,2022-01-14,Active,FALSE,139136.06,TRUE
ACC10016,CUST10016,YES Bank,Salary,YESB008668,2017-10-26,Inactive,TRUE,167997.23,TRUE
ACC10017,CUST10017,Union Bank of India,Salary,UBIN002876,2023-06-03,Active,TRUE,145766.82,TRUE
ACC10018,CUST10018,Punjab National Bank,Current,PUNB003591,2015-01-14,Inactive,FALSE,103941.44,TRUE
ACC10019,CUST10019,IDFC FIRST Bank,Salary,IDFB003927,2016-03-11,Active,TRUE,25100.47,TRUE
ACC10020,CUST10020,YES Bank,Savings,YESB004258,2019-03-12,Active,FALSE,96235.61,TRUE
ACC10021,CUST10021,IDFC FIRST Bank,Salary,IDFB001009,2018-08-20,Active,TRUE,30595.92,TRUE
ACC10022,CUST10022,Kotak Mahindra Bank,Savings,KKBK004923,2017-09-13,Active,FALSE,59992.51,TRUE
ACC10023,CUST10023,HDFC Bank,Savings,HDFC009727,2016-06-09,Active,FALSE,165681.25,TRUE
ACC10024,CUST10024,YES Bank,Savings,YESB007932,2021-01-17,Active,FALSE,76481.08,TRUE
ACC10025,CUST10025,Punjab National Bank,Current,PUNB007118,2020-10-20,Active,FALSE,33345.59,TRUE
ACC10026,CUST10026,State Bank of India,Salary,SBIN004770,2017-06-21,Active,TRUE,291137.83,TRUE
ACC10027,CUST10027,HDFC Bank,Savings,HDFC001514,2015-10-18,Active,TRUE,105639.6,TRUE
ACC10028,CUST10028,Union Bank of India,Savings,UBIN008744,2023-10-19,Active,TRUE,36110.55,TRUE
ACC10029,CUST10029,IndusInd Bank,Current,INDB007939,2020-03-27,Active,FALSE,16330.5,TRUE
ACC10030,CUST10030,Canara Bank,Savings,CNRB002612,2019-07-08,Active,FALSE,101597.31,TRUE
ACC10031,CUST10031,Axis Bank,Salary,UTIB004116,2020-01-12,Active,TRUE,43914.5,TRUE
ACC10032,CUST10032,HDFC Bank,Salary,HDFC008260,2016-02-06,Active,TRUE,117173.08,TRUE
ACC10033,CUST10033,HDFC Bank,Savings,HDFC004872,2019-07-23,Active,FALSE,32471.71,TRUE
ACC10034,CUST10034,State Bank of India,Current,SBIN003697,2015-01-09,Blocked,TRUE,276689.05,TRUE
ACC10035,CUST10035,Punjab National Bank,Savings,PUNB008973,2017-02-16,Active,FALSE,139394.67,TRUE
ACC10036,CUST10036,IDFC FIRST Bank,Savings,IDFB001998,2015-08-23,Active,FALSE,62987.45,TRUE
ACC10037,CUST10037,IDFC FIRST Bank,Savings,IDFB003579,2020-09-11,Active,FALSE,35785.6,TRUE
ACC10038,CUST10038,Canara Bank,Current,CNRB004853,2016-05-06,Inactive,TRUE,129152.46,TRUE
ACC10039,CUST10039,HDFC Bank,Salary,HDFC007868,2021-05-04,Active,TRUE,281385.63,TRUE
ACC10040,CUST10040,Union Bank of India,Savings,UBIN006147,2017-12-23,Active,FALSE,106469.21,TRUE
ACC10041,CUST10041,HDFC Bank,Current,HDFC001152,2021-12-19,Blocked,FALSE,153450.38,TRUE
ACC10042,CUST10042,Axis Bank,Savings,UTIB009288,2016-06-26,Active,FALSE,102919.26,TRUE
ACC10043,CUST10043,IndusInd Bank,Savings,INDB005669,2019-11-30,Active,FALSE,81642.49,TRUE
ACC10044,CUST10044,Canara Bank,Savings,CNRB009666,2022-06-28,Active,TRUE,278627.05,FALSE
ACC10045,CUST10045,ICICI Bank,Savings,ICIC005333,2016-03-14,Active,TRUE,79306.92,TRUE
